"id","13","0","5","14","12"

"### 翻译贡献者 / Translators"

"## TOH"
"#13 SChinese: fivefirex & ZeMing & OH233 &  2T & MC-AS-Huier & xiaojin & xyjx001& Tanakanira"

"## TOHE / TOH-RE"
"#13 SChinese: KARPED1EM & LezaiYa & CrewCyan & ninyouyigehao"
"#00 English: Tommy-XL & Tem & Gurge44 & KARPED1EM & Loonie & SolarFlare"
"#05 Russian: Tommy-XL & Tem & chill_ultimated"
"#14 TChinese: 阿龍 & 法官"

"## TOHE"
"### If you want to translate the mod into other languages -"
"### Visit: https://crowdin.com/project/tohe"
"### Thank you very much for translating for us"

"### 如果您想将该模组翻译成其他语言"
"### 访问：https://crowdin.com/project/tohe"
"### 非常感谢您为我们翻译"

"### 生草以及翻译者你好呀！"
"### 其实一直想跟你道个谢，毕竟翻译是一件很累的事情"
"### 即便如此，你还是选择来支持我这个微不足道的小模组"
"### TOHE因你变得更好、变得更加强大啦"
"### 或许我们在未来的路上会经历许多坎坷，或许TOHE的昙花一现就此落幕"
"### 但感谢有你，感谢TOHE短暂的生命中的每一位过客"

"## 作者署名（会显示在右上角，不需要请留空）/ A sign of an author (Please leave blank when not needed)"
"TextBelowVersionText","","","","",""

"# 通过数据文件进行自定义 / Customize via dat file"
"HostText","TOH-RE","Host","Хост","房主","Host"
"HostColor","#902efd","#902efd","#902efd","#902efd","#902efd"
"IconColor","#4bf4ff","#4bf4ff","#4bf4ff","#4bf4ff","#4bf4ff"
"Icon","♥","♥","♥","♥","♥"
"NameColor","#ffc0cb","#ffc0cb","#ffc0cb","#ffc0cb","#ffc0cb"

"#  / Main Menu Buttons"
"GitHub","GitHub网站","GitHub","<size=75%>ГитХаб</size>","GitHub","GitHub"
"Discord","Discord服务器","Discord","<size=75%>Дискорд</size>","Discord","Discord"
"Website","TOH-RE网站","Website","<size=75%>Веб-сайт</size>","模組官網","Website"

"## 对齐文本 / Alignment Sub Text"
"SubText.Crewmate","做任务和找出所有的<color=#ff1919>内鬼</color>","Find and exile the <color=#ff1919>Impostors</color>","Найди и кикни <color=#ff1919>Предателей</color>","完成任務並尋找<color=#ff1919>偽裝者</color>","Busca y exilia a los <color=#ff1919>Impostores</color>"
"SubText.Impostor","击杀所有的<color=#8cffff>船员</color>","Sabotage and kill everyone","Убивайте и саботируйте","Sabotage and kill everyone","Sabotea y mata a todos"
"SubText.Neutral","不属于其他阵营的独立阵营","Work alone to achieve your victory","Работайте в одиночку, чтобы добиться своей победы","Work alone to achieve your victory","Trabaja de tu parte para hacerte con la victoria"
"SubText.Madmate","帮助<color=#8cffff>内鬼阵营</color>","Help the <color=#ff1919>Impostors</color>","Помогайте <color=#ff1919>Предателям</color>","Help the <color=#ff1919>Impostors</color>","Ayuda a los <color=#ff1919>Impostores</color>"
"SubText.Coven","与<color=#663399>巫师阵营</color>的玩家进行合作","Work with your fellow <color=#663399>Coven</color> members","Работайте с другими членами <color=#663399>Ковена</color>","Work with your fellow <color=#663399>Coven</color> members","Trabaja con tus colegas del <color=#663399>Aquelarre</color>"

"# 职业类型 / Role Type"
"TypeImpostor","内鬼职业","Impostors","Предатели","偽裝者職業","Impostores"
"TypeCrewmate","船员职业","Crewmates","Члены Экипажа","船員職業","Tripulantes"
"TypeNeutral","中立职业","Neutrals","Нейтралы","中立職業","Neutros"
"TypeAddon","★ 附加职业","Add-ons","Атрибуты","附加職業","Complementos"
"TypeCoven","巫师职业","Coven","Ковены","Coven","Aquelarre"

"# 阵营 / Teams"
"TeamImpostor","内鬼阵营","Impostor","Предатель","偽裝者陣營","EquipoImpostor"
"TeamNeutral","中立阵营","Neutral","Нейтрал","中立陣營","EquipoNeutro"
"TeamCrewmate","船员阵营","Crewmate","Член Экипажа","船員陣營","EquipoTripulación"
"TeamMadmate","叛徒阵营","Madmate","Безумец","Madmate","EquipoTripulanteLoco"
"TeamCoven","巫师阵营","Coven","Ковен","Coven","Aquelarre"

"## 你的阵营名字 / You are [TEAM-NAME]"
"YouAreCrewmate","你是船员","You are a Crewmate","Ты - Член Экипажа","You are a Crewmate","Eres un Tripulante"
"YouAreImpostor","你是内鬼","You are an Impostor","Ты - Предатель","You are an Impostor","Eres un Impostor"
"YouAreNeutral","你是中立","You are a Neutral","Ты - Нейтрал","You are a Neutral","Eres Neutro"
"YouAreMadmate","你是叛徒","You are a Madmate","Ты - Безумец","You are a Madmate","Eres un Tripulante Loco"
"YouAreCoven","你是巫师阵营的其中一员","You are a member of the Coven","Вы в команде Ковенов","You are a member of the Coven","Eres un miembro del Aquelarre"

"## 你的阵营：简介 / You are [TEAM-NAME]: Sub texts"
"CrewmateSub","做任务和找出所有的<color=#ff1919>内鬼</color>","Find and exile the <color=#ff1919>Impostors</color>","Найди и кикни <color=#ff1919>Предателей</color>","Busca y exilia a los <color=#ff1919>Impostores</color>"
"ImpostorSub","击杀所有的<color=#8cffff>船员</color>","Sabotage and kill everyone","Убивайте и саботируйте","Sabotage and kill everyone","Sabotea y mata a todos"
"NeutralSub","不属于其他阵营的独立阵营","Work alone to achieve your victory","Играйте в одиночку, чтобы добиться своей победы","Work alone to achieve your victory","Trabaja de tu parte para hacerte con la victoria"
"MadmateSub","帮助<color=#8cffff>内鬼阵营</color>","Help the <color=#ff1919>Impostors</color>","Устраните <color=#8cffff>Членов Экипажа</color>","Help the <color=#ff1919>Impostors</color>","Ayuda a los <color=#ff1919>Impostores</color>"
"CovenSub","与<color=#663399>巫师阵营</color>的玩家进行合作","Work with your fellow <color=#663399>Coven</color> members","Работайте с другими членами <color=#663399>Ковена</color>","Work with your fellow <color=#663399>Coven</color> members","Trabaja con tus colegas del <color=#663399>Aquelarre</color>"

"## 个人竞技模式 / PVP"
"KB_Normal","挑战者","Challenger","Боец","挑戰者","Desafiante"
"KB_NormalInfo","击败所有人！","Kill all of them!","Уничтожь их!","擊敗所有人!","Derrota a todos!"

"## 设置中的身份 / Roles in Settings"
"Role.Crewmate","<color=#8cffff>船员</color>","<color=#8cffff>Crewmate</color>","<color=#8cffff>Член Экипажа</color>","<color=#8cffff>Crewmate</color>","<color=#8cffff>Tripulante</color>"
"Role.Jester","<color=#ec62a5>小丑</color>","<color=#ec62a5>Jester</color>","<color=#ec62a5>Шут</color>","<color=#ec62a5>Jester</color>","<color=#ec62a5>Bufón</color>"
"Role.Opportunist","<color=#4dff4d>投机者</color>","<color=#4dff4d>Opportunist</color>","<color=#4dff4d>Выживший</color>","<color=#4dff4d>Opportunist</color>","<color=#4dff4d>Oportunista</color>"
"Role.Convict","<color=#ff1919>罪犯</color>","<color=#ff1919>Convict</color>","<color=#ff1919>Осужденный</color>","<color=#ff1919>Convict</color>","<color=#ff1919>Prisionero</color>"
"Role.Celebrity","<color=#ee4a55>大明星</color>","<color=#ee4a55>Celebrity</color>","<color=#ee4a55>Знаменитость</color>","<color=#ee4a55>Celebrity</color>","<color=#ee4a55>Famoso</color>"
"Role.Bodyguard","<color=#185abd>保镖</color>","<color=#185abd>Bodyguard</color>","<color=#185abd>Телохранитель</color>","<color=#185abd>Bodyguard</color>","<color=#185abd>Guardaespaldas</color>"
"Role.Dictator","<color=#df9b00>独裁者</color>","<color=#df9b00>Dictator</color>","<color=#df9b00>Диктатор</color>","<color=#df9b00>Dictator</color>","<color=#df9b00>Dictador</color>"
"Role.Mayor","<color=#204d42>市长</color>","<color=#204d42>Mayor</color>","<color=#204d42>Мэр</color>","<color=#204d42>Mayor</color>","<color=#204d42>Alcalde</color>"
"Role.Doctor","<color=#80ffdd>法医</color>","<color=#80ffdd>Doctor</color>","<color=#80ffdd>Доктор</color>","<color=#80ffdd>Doctor</color>","<color=#80ffdd>Doctor</color>"
"Role.Maverick","<color=#781717>独行者</color>","<color=#781717>Maverick</color>","<color=#781717>Бродяга</color>","<color=#781717>Maverick</color>","<color=#781717>Disidente</color>"
